name,is_mammal,is_bird,is_reptile,lives_in_water,can_fly,has_fur,has_wings,bigger_than_human,is_predator,is_domesticated,lays_eggs,nocturnal,lives_in_groups,has_4_legs,dangerous_to_humans,found_in_africa,is_endangered,is_aquatic_only,produces_milk,has_long_ears
Lion,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0
Tiger,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0
Leopard,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0
Cheetah,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
House Cat,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
Wolf,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
Dog,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0
Fox,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Polar Bear,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
Brown Bear,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Panda,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Dolphin,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
Whale,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0
Shark,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0
Octopus,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
Salmon,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
Jellyfish,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
Eagle,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Penguin,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Parrot,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
Ostrich,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0
Owl,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
Sparrow,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
Chicken,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
Duck,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
Snake,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
Crocodile,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
Turtle,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
Chameleon,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Butterfly,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Spider,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
Bee,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
Cockroach,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
Ant,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Kangaroo,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Elephant,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
Giraffe,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
Bat,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
Frog,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
Platypus,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Deer,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Horse,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
Cow,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0
Pig,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Rabbit,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1
Mouse,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
